"trained_model_name","gnn","layers","nodes","mol_len","seconds","opt_gap","obj_val","constrs","vars","q_constrs"
"2022-09-16_21:00:03-GraphSAGE_32_1","GraphSAGE","1","32","4","2.9762020111083984","0.0","2.4972847870149346","1401","3465","0"
"2022-09-16_21:07:36-GraphSAGE_16_2","GraphSAGE","2","16","4","384.289489030838","0.0","3.09585937347554","1849","4681","0"
"2022-09-16_21:12:46-GraphSAGE_32_2","GraphSAGE","2","32","4","1044.6860880851746","0.0","4.0195712724865365","2297","5897","0"
"2022-09-16_21:16:25-GraphSAGE_64_2","GraphSAGE","2","64","4","30248.104063987732","0.0","2.3243891783602324","3193","8329","0"
"2022-09-16_21:18:55-GraphSAGE_16_3","GraphSAGE","3","16","4","36000.02312588692","0.9110197292735315","2.142014602232422","2297","5897","0"
"2022-09-16_21:25:40-GraphSAGE_32_3","GraphSAGE","3","32","4","36000.01655292511","4.93146188478766","3.4762376216241933","3193","8329","0"
"2022-09-16_21:28:10-GraphSAGE_64_3","GraphSAGE","3","64","4","36000.162569999695","13.992767670776917","2.691109217725964","4985","13193","0"
"2022-09-16_21:00:03-GraphSAGE_32_1","GraphSAGE","1","32","6","1107.8570840358734","0.0","4.3777391337953215","2625","7377","0"
"2022-09-16_21:07:36-GraphSAGE_16_2","GraphSAGE","2","16","6","36000.019490003586","0.5677822924982769","4.90209401821312","3489","9969","0"
"2022-09-16_21:12:46-GraphSAGE_32_2","GraphSAGE","2","32","6","36000.22650694847","2.2944183177760133","6.1707001775811525","4353","12561","0"
"2022-09-16_21:16:25-GraphSAGE_64_2","GraphSAGE","2","64","6","36000.12859392166","8.491738523307374","3.518453122325809","6081","17745","0"
"2022-09-16_21:18:55-GraphSAGE_16_3","GraphSAGE","3","16","6","36000.03015708923","5.573532992112039","7.026660472690722","4353","12561","0"
"2022-09-16_21:25:40-GraphSAGE_32_3","GraphSAGE","3","32","6","36000.15941405296","11.388448382300394","7.184512723555628","6081","17745","0"
"2022-09-16_21:28:10-GraphSAGE_64_3","GraphSAGE","3","64","6","36000.14299893379","17.255835158514163","4.369279291615271","9537","28113","0"
"2022-09-16_21:00:03-GraphSAGE_32_1","GraphSAGE","1","32","8","36000.039903879166","0.331037211366186","6.204700669699621","4225","12769","0"
"2022-09-16_21:07:36-GraphSAGE_16_2","GraphSAGE","2","16","8","36000.04593992233","5.19279334051504","6.708305944487596","5633","17249","0"
"2022-09-16_21:12:46-GraphSAGE_32_2","GraphSAGE","2","32","8","36000.06390309334","3.6284484207502543","8.321827364082916","7041","21729","0"
"2022-09-16_21:16:25-GraphSAGE_64_2","GraphSAGE","2","64","8","36000.091703891754","11.177388466579995","4.7125171641546055","9857","30689","0"
"2022-09-16_21:18:55-GraphSAGE_16_3","GraphSAGE","3","16","8","36000.086309194565","7.106133100402258","9.502920271213313","7041","21729","0"
"2022-09-16_21:25:40-GraphSAGE_32_3","GraphSAGE","3","32","8","36000.03655409813","13.596741435507564","9.892912225105462","9857","30689","0"
"2022-09-16_21:28:10-GraphSAGE_64_3","GraphSAGE","3","64","8","36000.11880207062","26.540394619291284","5.773825273880675","15489","48609","0"